id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp
case_082	16	32	7.712027332604819	0.2410008541439006	1	19
case_083	19	17	1.5539731641922572e-05	9.14101861289563e-07	1	17
case_084	23	11	3.964612358942077e-05	3.6041930535837063e-06	1	11
case_085	18	32	5.522284148525877	0.17257137964143365	1	21
case_086	16	32	16.45083525525871	0.5140886017268347	1	10
case_087	12	32	6.091383167547015	0.19035572398584422	1	6
case_088	14	32	11.114382399201158	0.3473244499750362	0	0
case_089	12	32	5.004674477792712	0.15639607743102224	1	30
case_090	17	32	10.451763651853938	0.32661761412043555	1	14
case_091	14	32	12.673360182871797	0.39604250571474364	1	9
case_092	15	32	6.8676977635777305	0.21461555511180408	1	1
case_093	17	32	5.256585769733135	0.16426830530416048	1	12
case_094	16	1	0.0006559671940991052	0.0006559671940991052	1	1
case_095	17	2	0.10158297337074629	0.050791486685373144	1	2
case_096	15	5	2.4254304392457016e-05	4.850860878491403e-06	1	5
case_097	22	1	0.4479330647472679	0.4479330647472679	1	1
case_098	20	7	2.8827854897428935	0.41182649853469905	0	0
case_099	22	6	0.46566366603935094	0.07761061100655849	1	6
